front,back,frequency,language_code,CEFR_level,type
aspetto,"aspect, look, appearance",0.02,it,A1,vocabulary
amore,love,0.02,it,A1,vocabulary
riportare,"to report, to bring back, to carry",0.02,it,A1,vocabulary
materiale,"material, substance",0.02,it,A1,vocabulary
disco,"disc, record, disk",0.02,it,A1,vocabulary
solito,"usual, customary",0.02,it,A1,vocabulary
cultura,culture,0.02,it,A1,vocabulary
tuo,your,0.02,it,A1,vocabulary
scelta,"choice, selection",0.02,it,A1,vocabulary
relazione,"relationship, report",0.02,it,A1,vocabulary
lato,side,0.02,it,A1,vocabulary
biografia,biography,0.02,it,A1,vocabulary
gran,"great, big, grand",0.02,it,A1,vocabulary
lavorio,"work, labor, job",0.02,it,A1,vocabulary
moderno,modern,0.02,it,A1,vocabulary
effettuare,"to carry out, to perform",0.02,it,A1,vocabulary
politica,"politics, policy",0.02,it,A1,vocabulary
riconoscere,"to recognize, to acknowledge",0.02,it,A1,vocabulary
complesso,"complex, complicated ",0.02,it,A1,vocabulary
attacco,"attack, onset",0.02,it,A1,vocabulary
chiaro,"clear, obvious",0.02,it,A1,vocabulary
riprendere,"to resume, to restart, to take back",0.02,it,A1,vocabulary
testa,head,0.02,it,A1,vocabulary
moglie,wife,0.02,it,A1,vocabulary
tecnico,"technical, technician",0.02,it,A1,vocabulary
unità ,"unit, unity",0.02,it,A1,vocabulary
sei,"six, you are",0.02,it,A1,vocabulary
risalire,"to date back, to climb up",0.02,it,A1,vocabulary
nero,black,0.02,it,A1,vocabulary
premio,"prize, award, premium",0.02,it,A1,vocabulary
figura,"figure, shape",0.02,it,A1,vocabulary
privato,private,0.02,it,A1,vocabulary
articolo,"article, item",0.02,it,A1,vocabulary
sostituire,"to replace, to substitute",0.02,it,A1,vocabulary
esso,it,0.02,it,A1,vocabulary
perchà¨,"why, because",0.02,it,A1,vocabulary
poiché,"since, because",0.02,it,A1,vocabulary
appena,"just, as soon as",0.02,it,A1,vocabulary
Repubblica,republic,0.02,it,A1,vocabulary
aggiungere,to add,0.02,it,A1,vocabulary
nord,north,0.02,it,A1,vocabulary
richiesta,"request, demand",0.02,it,A1,vocabulary
mare,sea,0.02,it,A1,vocabulary
velocità ,"speed,velocity",0.02,it,A1,vocabulary
giocatore,player,0.02,it,A1,vocabulary
giro,"tour, lap, round",0.02,it,A1,vocabulary
differenza,difference,0.02,it,A1,vocabulary
tramite,"through, via, by means of",0.02,it,A1,vocabulary
affermare,"to assert, to claim, to state",0.02,it,A1,vocabulary
azienda,"company, firm, business",0.02,it,A1,vocabulary
esperienza,experience,0.02,it,A1,vocabulary
personale,"staff, personal",0.02,it,A1,vocabulary
club,club,0.02,it,A1,vocabulary
pieno,"full, complete",0.02,it,A1,vocabulary
confronto,"comparison, confrontation",0.02,it,A1,vocabulary
tipico,typical,0.02,it,A1,vocabulary
popolare,"popular, to populate",0.02,it,A1,vocabulary
euro,Euro,0.02,it,A1,vocabulary
nominare,"to nominate, to appoint, to name",0.02,it,A1,vocabulary
popolo,"people, nation",0.02,it,A1,vocabulary
consentire,"to allow, to permit",0.02,it,A1,vocabulary
caratterizzare,to characterize,0.02,it,A1,vocabulary
sicuro,"safe, sure, secure",0.02,it,A1,vocabulary
incontrare,"to meet, to encounter",0.02,it,A1,vocabulary
assoluto,"absolute, total",0.02,it,A1,vocabulary
abbandonare,"to abandon, to leave, to give up",0.02,it,A1,vocabulary
religioso,religious,0.02,it,A1,vocabulary
animale,animal,0.02,it,A1,vocabulary
incontro,"meeting, encounter, match",0.02,it,A1,vocabulary
interpretare,to interpret,0.02,it,A1,vocabulary
inserire,"to insert, enter",0.02,it,A1,vocabulary
occhio,eye,0.02,it,A1,vocabulary
ritorno,return,0.02,it,A1,vocabulary
appartenere,to belong,0.02,it,A1,vocabulary
salvare,"to save, to rescue",0.02,it,A1,vocabulary
ambiente,"environment, atmosphere",0.02,it,A1,vocabulary
sposare,to marry,0.02,it,A1,vocabulary
civile,civil,0.02,it,A1,vocabulary
colpire,"to hit, to strike, to affect",0.02,it,A1,vocabulary
classico,classic,0.02,it,A1,vocabulary
organizzare,to organize,0.02,it,A1,vocabulary
ovvero,"or, in other words",0.02,it,A1,vocabulary
fornire,"to provide, supply",0.02,it,A1,vocabulary
strumento,"instrument, tool",0.02,it,A1,vocabulary
scopo,"purpose, aim",0.02,it,A1,vocabulary
piuttosto,"rather, instead",0.02,it,A1,vocabulary
oro,gold,0.02,it,A1,vocabulary
totale,"total, entire",0.02,it,A1,vocabulary
essi,they,0.02,it,A1,vocabulary
prova,"test, proof, trial",0.02,it,A1,vocabulary
